Date/Time,TTT [°C] (at 2m height),THETA [K] (at 2m height),Surf temp [°C] (modelled),Surf temp [°C] (calculated from LWU),Humidity spec [g/kg] (at 2m height),Humidity spec [g/kg] (at surface),RH [%] (at 2m height),ff [m/s] (at 10m height),PPPP [hPa] (at surface),Cloud cov [%],Albedo [%] (24-hour running mean observed...),SZA [deg],Melt energy [W/m**2],Net SW [W/m**2],SWD [W/m**2],SWU [W/m**2],Net LW [W/m**2],LWD [W/m**2],LWU [W/m**2] (modelled),LWU [W/m**2] (observed),NET [W/m**2],Qh [W/m**2],Qe [W/m**2],Ground heat flux [W/m**2],"Melt rate [mm w.e.] (surface melt, within dt)","Melt rate [mm w.e.] (cumulative surface melt, with...)",Runoff [mm] (within dt),Sublimation [mm w.e.] (within dt)
2017-02-20,-10.0866125,264.10674166666666,-7.740108333333333,-9.628909090909092,1.4556862500000005,2.05201875,89.34551083333332,0.6092225,986.2291666666666,0.5731974999999999,0.820055,1.3803641666666666,0.0,49.51065499999999,245.47217291666664,195.96151791666668,-38.070276250000006,243.47074291666664,281.54101916666673,273.70454545454544,11.440378333333337,-11.868257916666662,-7.830380416666667,8.148735833333335,0.0,1624.7373799999996,0.0,-0.010072916666666668
2017-02-21,-9.1772625,264.94154583333335,-8.612941666666668,-9.640883333333333,1.5429220833333337,1.9296699999999998,86.03287708333333,0.7935258333333334,987.25,0.6525908333333335,0.8453804166666669,1.3862724999999998,0.0,24.36457833333333,186.91899708333335,162.55441875,-24.375553750000005,253.58333333333334,277.9588870833334,273.94444444444446,-0.01097499999999955,-3.0887083333333334,-3.795084166666667,7.023631666666666,0.0,1624.7373799999996,0.0,-0.004705
2017-02-22,-7.139212500000002,266.66625416666665,-6.317229166666667,-6.250294444444445,1.7975333333333332,2.2799062500000002,86.08960125,1.561357916666667,991.4166666666666,0.84850375,0.8700020833333335,1.3922341666666667,0.0,18.326745416666665,145.95174541666668,127.625,-10.817282916666665,276.7083333333333,287.5256162499999,287.77777777777777,7.509462916666667,-4.042180833333334,-6.121028750000001,2.693431666666667,0.0,1624.7373799999996,0.0,-0.007836666666666667
2017-02-23,-7.430037499999998,266.5214833333333,-7.622991666666667,-7.2920388888888885,1.7188345833333336,2.061664166666667,84.10501125000002,1.0501300000000005,989.5416666666666,0.5967129166666666,0.8727533333333333,1.3982487499999996,0.0,25.488996666666665,195.98899666666668,170.5,-26.795083333333327,255.21875,282.01383333333337,283.44444444444446,-1.3060858333333332,-0.46182249999999997,-3.12700375,5.026499166666667,0.0,1624.7373799999996,0.0,-0.003970833333333332
2017-02-24,-3.2336583333333326,271.61965833333335,-4.4926458333333334,-3.84198,2.327095833333334,2.7420904166666666,80.38228958333333,3.9081966666666665,978.21875,0.7175658333333331,0.8598716666666667,1.404315416666667,14.983097083333332,24.483515416666673,173.48351541666668,149.0,-17.68606541666667,277.888,295.5740654166667,298.4416,6.797451250000001,18.133144166666664,-11.126110833333334,0.738107083333333,0.14478375000000002,1625.1545962500002,0.0,-0.013889166666666668
2017-02-25,-2.6446666666666667,272.0233083333333,-3.239708333333334,-2.9353000000000002,2.4440900000000005,3.0235616666666663,80.03149749999999,4.813692083333334,980.65625,0.8066308333333332,0.8811137499999998,1.4104333333333334,2.4096550000000003,12.557720833333335,116.74522083333335,104.1875,-13.841156250000004,287.23650000000004,301.07765625,302.4186666666667,-1.2834349999999985,7.718317499999998,-17.179252083333335,12.099999999999996,0.029654166666666662,1628.8453729166658,0.0,-0.022439583333333336
2017-02-26,-9.974983333333336,264.36701250000004,-8.580124999999999,-8.66008947368421,1.53234125,1.8695920833333333,92.56732499999998,2.9371941666666674,984.3125,0.97283375,0.9345408333333332,1.4165983333333332,0.0,7.752595833333333,133.71092916666666,125.95833333333333,1.1437225000000002,278.9895070833334,277.84578458333334,277.5263157894737,8.896318333333333,-10.950187083333333,-7.6506741666666676,9.451219166666668,0.0,1628.9238899999991,0.0,-0.009755833333333333
2017-02-27,-13.6477,260.1635791666667,-12.649029166666665,-12.811618750000003,1.0652366666666664,1.2924412500000002,90.88370833333335,1.6980804166666665,991.125,0.8074745833333333,0.943358333333333,1.42281,0.0,7.445628333333334,132.69562833333336,125.25,-9.500627499999998,251.66666666666666,261.16729416666664,260.625,-2.0549987500000007,-5.5221141666666655,-3.583469999999999,11.182977083333332,0.0,1628.9238899999991,0.0,-0.004628333333333334
2017-02-28,-12.9921375,260.13254166666667,-13.493391666666666,-14.773605,1.0994662499999999,1.2643849999999999,86.17428749999999,2.2766804166666663,1000.3333333333334,0.5588508333333333,0.9125541666666669,1.4290654166666668,0.0,15.389207083333332,167.4701258333333,152.08091875,-21.316310833333336,236.86458333333334,258.18089416666663,253.525,-5.927103333333334,0.9390562499999998,-3.25872625,8.469913333333334,0.0,1628.9238899999991,0.0,-0.0039833333333333335
2017-03-01,-9.932362499999998,263.42946250000006,-11.177583333333333,-11.18195,1.3177754166666664,1.5194808333333334,80.44172958333334,1.8344075000000002,997.2083333333334,0.30213375000000003,0.8659166666666667,1.435363333333333,0.0,33.52834583333333,211.79212708333338,178.26378125,-42.543852916666665,224.79166666666666,267.33551958333334,267.47222222222223,-9.0155075,4.4006229166666655,-2.552737916666667,6.649703333333332,0.0,1628.9238899999991,0.0,-0.0034162500000000004
2017-03-02,-12.738558333333332,261.03309999999993,-12.071533333333333,-13.699582352941176,1.1374929166666667,1.38953375,89.05400333333334,0.616565,991.6875,0.6147499999999999,0.8521079166666664,1.4417033333333331,0.0,22.87413375,166.29888041666666,143.42474666666666,-24.006903333333337,239.60416666666666,263.61107,257.20588235294116,-1.1327695833333344,-3.4203716666666675,-2.956331666666666,7.468256666666669,0.0,1628.9238899999991,0.0,-0.0037358333333333336
2017-03-03,-14.431674999999998,258.84805000000006,-13.3411125,-13.924477777777776,1.0174166666666669,1.22083125,92.78508833333336,1.7199916666666668,998.2291666666666,0.8182762499999999,0.8752237500000001,1.4480808333333333,0.0,14.546429583333335,128.8797629166667,114.33333333333333,-8.789990833333333,249.69791666666666,258.4879075,256.30555555555554,5.756439166666667,-7.015185416666665,-4.233493333333333,5.603814583333333,0.0,1628.9238899999991,0.0,-0.005284583333333333
2017-03-04,-13.14559166666667,259.29409583333336,-12.789591666666666,-12.095833333333335,1.0643329166666666,1.2488529166666664,87.69412958333334,2.414945,1009.6458333333334,0.7683470833333331,0.9173487499999998,1.4544958333333335,0.0,8.90245125,114.42328458333334,105.52083333333333,-9.92692,250.65625,260.58316999999994,263.3611111111111,-1.0244687500000003,-2.7672837499999994,-3.4068833333333335,7.133604583333333,0.0,1628.9238899999991,0.0,-0.004362916666666668
2017-03-05,-12.768416666666669,259.47004583333336,-12.789454166666667,-12.892864705882355,0.9667141666666669,1.2597529166666666,78.06963833333333,2.371796249999999,1012.3541666666666,0.47677375,0.8447283333333332,1.460945,0.0,32.473632083333335,176.89029875000006,144.41666666666666,-31.089779583333335,229.5625,260.6522795833334,260.29411764705884,1.3838533333333334,-1.4204437499999998,-5.975381250000001,5.667257916666668,0.0,1628.9238899999991,0.0,-0.0076416666666666655
2017-03-06,-15.767370833333336,257.05877499999997,-16.494383333333328,-17.079894736842103,0.7701874999999999,0.9724987499999999,80.05206875,1.20348125,1004.4375,0.22293583333333336,0.8187879166666664,1.4674279166666668,0.0,34.64019416666667,187.67915166666668,153.0389575,-43.33726166666668,203.20833333333334,246.54559500000002,244.44736842105263,-8.697067083333328,2.1590995833333344,-1.9890766666666673,8.709754583333334,0.0,1628.9238899999991,0.0,-0.0025170833333333334
2017-03-07,-15.509454166666664,257.70013750000004,-14.736029166666668,-15.565747058823531,0.901167916666667,1.1277583333333334,89.08207333333331,0.7445520833333333,999.21875,0.6559358333333333,0.84253375,1.4739408333333337,0.0,21.561015416666663,152.83010458333334,131.26908916666665,-19.191851250000003,234.07291666666666,253.26476791666667,250.47058823529412,2.3691637499999993,-3.7447995833333336,-2.3231829166666667,4.2149624999999995,0.0,1628.9238899999991,0.0,-0.002950000000000001
2017-03-08,-2.8852958333333323,270.6486458333333,-5.186479166666667,-6.13087,2.220498333333333,2.634412083333333,72.63415041666669,1.9559933333333337,995.0416666666666,0.5479904166666666,0.8316004166666665,1.4804845833333333,8.10181375,31.460174166666672,172.64596208333333,141.18578791666667,-29.699062916666666,263.1141666666667,292.8132295833334,288.70120000000003,1.7611099999999988,9.206043750000003,-3.231274166666667,-0.7016970833333334,0.0899475,1629.5028145833328,0.0,-0.003898333333333333
2017-03-09,-3.6681916666666665,269.6124166666667,-5.412429166666667,-6.174355555555556,2.3077891666666663,2.44696,82.09470208333333,1.7953708333333334,998.3020833333334,0.5175716666666667,0.8253808333333333,1.4870537500000003,0.0,26.18564249999999,152.76897583333334,126.58333333333333,-32.4331225,259.0104166666667,291.44353916666665,288.22222222222223,-6.247477083333332,5.764544999999999,-0.956505,1.3863066666666668,0.0,1631.08263,0.0,-0.0013429166666666667
2017-03-10,-1.2832833333333336,272.19180833333337,-3.9213125000000004,-5.885511111111112,2.3340374999999995,2.854165,70.38610791666666,2.7896283333333343,995.8333333333334,0.427295,0.8002083333333334,1.4936495833333332,9.874498749999999,36.49425583333333,173.7025891666667,137.20833333333334,-41.81026458333333,256.36333333333334,298.1735979166667,289.68311111111115,-5.316009166666667,16.666045,-9.510698333333336,5.552985833333334,0.09257791666666666,1631.8915562500006,0.0,-0.012241666666666665
2017-03-11,-5.365766666666666,268.34582083333333,-6.459116666666667,-9.336388888888889,2.0026045833333335,2.294349583333333,81.25671041666668,1.9070137499999997,992.6979166666666,0.4487245833333333,0.7793233333333333,1.5002666666666669,0.0,37.283588333333334,169.58243458333337,132.29884625,-39.3291575,247.71875,287.0479075,274.9166666666667,-2.0455687499999993,3.3032316666666666,-4.2662474999999995,2.8521200000000007,0.0,1633.3044899999998,0.0,-0.005457083333333334
2017-03-12,-10.139116666666668,263.7400708333333,-9.528220833333334,-9.772604761904764,1.5458783333333332,1.7174349999999998,94.20855291666668,1.6870633333333334,990.3541666666666,0.8796141666666667,0.8951499999999997,1.5069070833333338,0.0,4.733649583333333,90.90031625,86.16666666666667,-4.28857875,269.6345958333333,273.9231745833333,273.0238095238095,0.44507000000000024,-3.7735895833333335,-2.926827083333333,6.092110000000002,0.0,1633.3044899999998,0.0,-0.0036437499999999994
2017-03-13,-7.982229166666667,265.85402500000004,-7.184858333333334,-6.816560000000001,1.8098299999999996,2.1023454166666666,92.90189499999998,1.5574737499999998,990.9895833333334,0.9351704166666667,0.8963933333333335,1.5135654166666666,0.0,10.29342125,84.79342125000001,74.5,-2.5244679166666666,281.2395833333333,283.76405124999997,285.325,7.768951249999998,-3.873926666666667,-4.20459125,0.34871666666666684,0.0,1633.3044899999998,0.0,-0.0052920833333333335
2017-03-14,-6.471825,267.1014041666667,-5.835195833333333,-4.786727777777776,2.005058333333334,2.3816012499999997,89.69960541666666,1.5450166666666665,994.4583333333334,0.9700266666666666,0.9130333333333334,1.5202420833333334,0.0,7.972977916666665,101.34170416666664,93.36872625000001,2.9279324999999994,292.57458333333335,289.6466508333333,294.25,10.900910000000001,-3.1997070833333336,-5.527483333333333,-1.98290875,0.0,1633.3044899999998,0.0,-0.007060416666666667
2017-03-15,-5.893391666666666,267.06282500000003,-5.131845833333334,-4.346205882352941,2.2006787500000002,2.5338941666666672,90.19771458333334,2.41213625,1002.6041666666666,0.9469479166666668,0.8904987500000002,1.5269337499999998,0.0,11.2194175,96.94858416666666,85.72916666666667,-2.276519166666666,290.49191333333334,292.7684325,296.26023529411765,8.942897083333333,-6.0251270833333335,-6.433448749999999,3.0599716666666663,0.0,1633.3044899999998,0.0,-0.008062083333333333
2017-03-16,-9.572829166666667,263.3361375,-8.695845833333335,-7.96643,1.6080562500000004,1.80905625,96.20524708333333,1.1168091666666664,1003.21875,0.9067308333333334,0.9258683333333332,1.53363875,0.0,5.300291666666666,88.008625,82.70833333333333,-3.497723333333333,273.8373470833333,277.3350704166667,280.425,1.802569166666667,-3.675724583333333,-2.4557354166666667,4.324206666666666,0.0,1633.3044899999998,0.0,-0.003166666666666667
2017-03-17,-8.923725000000001,265.47966249999996,-8.291541666666665,-7.4511062500000005,1.7146820833333336,1.9181308333333333,94.84179208333332,1.2655095833333334,983.6041666666666,0.8495395833333332,0.9264654166666668,1.5403529166666667,0.0,9.23687625,109.57020958333335,100.33333333333333,-7.867300833333334,271.1875,279.05480083333333,282.625,1.369575833333333,-2.453587916666666,-2.3777825000000004,3.3771733333333334,0.0,1633.3044899999998,0.0,-0.0030849999999999996
