Time (Kya),Time,d18O,Error
5250,5250000,3.06,0.09
5255,5255000,3.09,0.12
5260,5260000,3.01,0.07
5265,5265000,2.98,0.08
5270,5270000,2.8,0.07
5275,5275000,2.89,0.11
5280,5280000,2.89,0.08
5285,5285000,2.8,0.06
5290,5290000,2.92,0.03
5295,5295000,2.97,0.06
5300,5300000,2.91,0.06
5305,5305000,2.79,0.04
5310,5310000,2.79,0.09
5315,5315000,2.84,0.07
5320,5320000,2.91,0.09
