Age,d18O Summer,d18O winter,d18O annual,,,,,,,
1888,-28.36,-29.14,-28.70,,,,,,,
1887,-28.07,-29.02,-28.59,,,,,,,
1886,-27.45,-28.98,-28.50,,,,,,,
1885,-26.29,-27.11,-27.36,,,,,,,
1884,-25.26,-28.77,-26.41,,,,,,,
1883,-27.44,-28.43,-28.05,,,,,,,
1882,-26.75,-30.15,-27.90,,,,,,,
1881,-26.81,-28.13,-27.95,,,,,,,
1880,-26.43,-28.75,-27.73,,,,,,,
1879,-27.30,-29.23,-27.38,,,,,,,
1878,-28.99,-30.50,-29.68,,,,,,,
1877,-27.53,-27.41,-28.96,,,,,,,
1876,-26.27,-27.67,-26.79,,,,,,,
1875,-27.22,-28.63,-27.31,,,,,,,
1874,-26.52,-26.86,-27.39,,,,,,,
1873,-27.48,-28.15,-27.28,,,,,,,
1872,-26.58,-28.22,-27.56,,,,,,,
1871,-26.84,-27.43,-27.66,,,,,,,
1870,-26.17,-28.53,-26.32,,,,,,,
1869,-28.19,-28.70,-28.76,,,,,,,
1868,-26.52,-28.44,-27.57,,,,,,,
1867,-27.30,-28.04,-27.64,,,,,,,
1866,-26.92,-29.17,-28.06,,,,,,,
1865,-25.56,-26.35,-26.84,,,,,,,
1864,-25.94,-27.15,-26.09,,,,,,,
1863,-25.91,-26.29,-26.55,,,,,,,
1862,-24.91,-27.94,-25.85,,,,,,,
1861,-25.75,-27.09,-26.53,,,,,,,
1860,-26.72,-27.82,-26.73,,,,,,,
1859,-26.30,-28.68,-28.06,,,,,,,
1858,-26.18,-28.45,-26.47,,,,,,,
1857,-28.57,-29.86,-29.40,,,,,,,
1856,-26.57,-27.66,-27.77,,,,,,,
1855,-26.44,-29.45,-27.19,,,,,,,
1854,-28.09,-29.83,-29.22,,,,,,,
1853,-26.77,-28.97,-28.07,,,,,,,
1852,-27.72,-28.27,-27.92,,,,,,,
1851,-27.71,-28.94,-28.02,,,,,,,
1850,-28.08,-29.00,-28.42,,,,,,,
1849,-27.56,-27.60,-28.33,,,,,,,
1848,-26.62,-28.83,-27.81,,,,,,,
1847,-25.17,-26.80,-26.59,,,,,,,
1846,-26.04,-28.99,-26.75,,,,,,,
1845,-27.08,-27.98,-27.75,,,,,,,
1844,-26.98,-29.04,-27.86,,,,,,,
1843,-26.64,-28.06,-27.34,,,,,,,
1842,-26.34,-27.95,-27.24,,,,,,,
1841,-26.37,-27.74,-27.35,,,,,,,
1840,-26.53,-29.05,-26.70,,,,,,,
1839,-28.10,-29.24,-28.84,,,,,,,
1838,-26.80,-27.08,-27.81,,,,,,,
1837,-27.09,-29.31,-27.24,,,,,,,
1836,-28.40,-28.00,-28.43,,,,,,,
1835,-27.97,-29.98,-28.66,,,,,,,
1834,-27.18,-27.97,-28.27,,,,,,,
1833,-27.50,-27.96,-27.47,,,,,,,
1832,-25.62,-28.20,-27.90,,,,,,,
1831,-24.93,-25.33,-25.32,,,,,,,
1830,-25.80,-27.74,-26.19,,,,,,,
1829,-26.86,-27.97,-27.48,,,,,,,
1828,-26.47,-25.37,-27.12,,,,,,,
1827,-25.76,-28.27,-26.19,,,,,,,
1826,-26.25,-27.54,-26.95,,,,,,,
1825,-28.03,-30.66,-28.36,,,,,,,
1824,-28.71,-29.27,-29.35,,,,,,,
1823,-28.66,-29.35,-29.03,,,,,,,
1822,-26.76,-27.49,-28.13,,,,,,,
1821,-26.51,-29.79,-27.64,,,,,,,
1820,-25.16,-28.10,-27.40,,,,,,,
1819,-26.34,-29.18,-26.91,,,,,,,
1818,-27.36,-28.34,-28.29,,,,,,,
1817,-27.27,-29.87,-28.29,,,,,,,
1816,-26.05,-26.20,-27.11,,,,,,,
1815,-26.33,-28.56,-26.47,,,,,,,
1814,-28.04,-29.06,-28.66,,,,,,,
1813,-27.86,-28.64,-28.42,,,,,,,
1812,-26.55,-27.66,-27.88,,,,,,,
1811,-25.57,-28.38,-26.36,,,,,,,
1810,-27.55,-27.95,-27.80,,,,,,,
1809,-25.88,-26.72,-27.51,,,,,,,
1808,-26.12,-28.32,-26.13,,,,,,,
1807,-28.23,-29.05,-28.55,,,,,,,
1806,-26.84,-27.74,-28.09,,,,,,,
1805,-25.43,-27.13,-26.55,,,,,,,
1804,-27.94,-29.33,-27.36,,,,,,,
1803,-28.69,-28.80,-29.07,,,,,,,
1802,-28.01,-29.23,-28.63,,,,,,,
1801,-26.33,-27.26,-27.62,,,,,,,
