Age (yrs b2k),Renland depth,Renland d18O
3160,264.771,-27.36
3180,264.943,-26.37
3200,265.116,-26.82
3220,265.29,-27.17
3240,265.465,-27.14
3260,265.642,-27.02
3280,265.819,-26.59
3300,265.998,-27.13
3320,266.177,-26.74
3340,266.356,-26.81
3360,266.536,-26.93
3380,266.716,-27.28
3400,266.897,-26.63
3420,267.077,-26.91
3440,267.258,-26.95
3460,267.438,-26.87
3480,267.618,-26.6
3500,267.797,-26.89
3520,267.976,-27.17
3540,268.154,-26.61
3560,268.331,-26.79
3580,268.508,-27.22
3600,268.683,-26.44
3620,268.857,-26.18
3640,269.029,-26.39
3660,269.2,-26.42
3680,269.37,-26.62
3700,269.538,-26.56
3720,269.703,-26.61
3740,269.867,-26.94
3760,270.029,-26.78
3780,270.188,-26.47
3800,270.346,-27.2
3820,270.5,-27.09
3840,270.652,-26.82
3860,270.801,-26.69
3880,270.947,-26.5
3900,271.091,-26.21
3920,271.231,-26.69
3940,271.368,-26.24
3960,271.501,-26.76
3980,271.631,-26.44
4000,271.757,-26.44
4020,271.88,-26.96
4040,271.998,-27.02
4060,272.113,-26.66
4080,272.225,-26.66
4100,272.336,-26.51
4120,272.445,-27.07
4140,272.552,-26.69
4160,272.658,-26.42
4180,272.761,-26.4
4200,272.863,-26.67
4220,272.964,-26.68
4240,273.062,-26.69
4260,273.16,-27.01
4280,273.255,-26.56
4300,273.35,-26.84
4320,273.443,-26.95
4340,273.534,-26.98
4360,273.625,-26.51
4380,273.714,-26.51
4400,273.802,-26.04
4420,273.888,-26.4
4440,273.974,-26.71
4460,274.059,-26.53
4480,274.142,-26.02
4500,274.224,-26.84
4520,274.306,-26.56
4540,274.387,-27.01
4560,274.466,-26.93
4580,274.545,-26.52
4600,274.624,-26.15
4620,274.701,-26.46
4640,274.778,-26.7
4660,274.854,-26.93
4680,274.93,-27.15
4700,275.005,-26.67
4720,275.08,-26.92
4740,275.154,-26.52
4760,275.228,-26.79
4780,275.301,-27.09
4800,275.373,-26.94
4820,275.445,-26.16
4840,275.517,-26.55
4860,275.587,-26.73
4880,275.657,-26.33
4900,275.726,-26.47
4920,275.794,-26.33
4940,275.861,-26.45
4960,275.927,-27
4980,275.992,-26.36
5000,276.056,-26.77
5020,276.119,-26.72
5040,276.181,-26.33
5060,276.242,-26.53
5080,276.301,-25.68
5100,276.359,-26.95
5120,276.416,-26.86
5140,276.471,-26.45
5160,276.525,-26.41
5180,276.577,-26.26
5200,276.628,-26.37
5220,276.677,-26.49
5240,276.724,-26.62
5260,276.768,-26.63
5280,276.81,-26.48
5300,276.851,-26.41
5320,276.89,-25.83
5340,276.928,-25.85
5360,276.966,-26.34
5380,277.003,-26.64
5400,277.041,-26.9
5420,277.08,-26.75
5440,277.12,-27
5460,277.161,-26.76
5480,277.204,-26.93
5500,277.25,-26.72
5520,277.297,-26.59
5540,277.346,-26.88
5560,277.395,-26.27
5580,277.446,-26.56
5600,277.497,-26.91
5620,277.547,-27.13
5640,277.598,-26.66
5660,277.648,-26.51
5680,277.697,-26.47
5700,277.745,-26.33
5720,277.792,-26.61
5740,277.837,-26.48
5760,277.88,-26.65
5780,277.924,-26.32
5800,277.967,-26.61
5820,278.01,-26.28
5840,278.052,-26.73
5860,278.093,-26.5
5880,278.133,-26.41
5900,278.173,-26.13
5920,278.212,-26.91
5940,278.249,-26.83
5960,278.285,-26.72
5980,278.32,-26.59
6000,278.353,-26.42
6020,278.386,-26.47
6040,278.417,-26.33
6060,278.448,-25.95
6080,278.478,-26.18
6100,278.507,-25.99
6120,278.535,-26.6
6140,278.563,-26.89
6160,278.59,-26.74
6180,278.617,-26.5
6200,278.643,-26.74
6220,278.668,-27.01
6240,278.693,-26.53
6260,278.717,-26.44
6280,278.741,-25.98
6300,278.765,-26.23
6320,278.788,-26.48
6340,278.81,-26.43
6360,278.833,-26.19
6380,278.855,-25.81
6400,278.877,-26.1
6420,278.898,-26.17
6440,278.919,-26.16
6460,278.941,-26.34
6480,278.962,-26.56
6500,278.982,-26.51
6520,279.003,-26.1
6540,279.024,-25.62
6560,279.045,-25.86
6580,279.065,-26.01
6600,279.086,-26.09
6620,279.107,-26.34
6640,279.128,-26.76
6660,279.149,-26.62
6680,279.171,-26.54
6700,279.192,-26.58
6720,279.214,-26.58
6740,279.236,-26.37
6760,279.258,-26.2
6780,279.281,-26.29
6800,279.304,-26.5
6820,279.327,-27.03
6840,279.351,-26.2
6860,279.376,-26.03
6880,279.401,-26.31
6900,279.426,-26.49
6920,279.452,-26.16
6940,279.478,-26.48
6960,279.505,-26.34
6980,279.533,-26.12
7000,279.562,-26.15
7020,279.591,-26.21
7040,279.621,-26.23
7060,279.651,-26.43
7080,279.683,-26.46
7100,279.715,-26.23
7120,279.748,-25.95
7140,279.783,-26.78
7160,279.818,-26.46
7180,279.854,-26.23
7200,279.891,-26.02
7220,279.929,-26.57
7240,279.968,-25.85
7260,280.009,-26.05
7280,280.055,-26.2
7300,280.105,-26.48
7320,280.159,-26.46
7340,280.217,-26.03
7360,280.277,-26.23
7380,280.341,-26.07
7400,280.407,-26.42
7420,280.474,-26.16
7440,280.544,-25.82
7460,280.614,-26.13
7480,280.685,-26.19
7500,280.757,-26.16
7520,280.829,-26.14
7540,280.9,-25.92
7560,280.97,-26.33
7580,281.039,-26.13
7600,281.107,-26.03
7620,281.172,-26.36
7640,281.236,-26.44
7660,281.297,-25.56
7680,281.358,-26.01
7700,281.418,-25.88
7720,281.478,-25.84
7740,281.538,-25.75
7760,281.598,-25.91
7780,281.658,-25.7
7800,281.719,-25.82
7820,281.781,-25.94
7840,281.843,-26
7860,281.908,-25.89
7880,281.973,-25.64
7900,282.039,-25.68
7920,282.105,-25.48
